    WARD44    2011Census %
0        1        0.023447
1        2        0.021691
2        3        0.019973
3        4        0.020894
4        5        0.024479
5        6        0.022559
6        7        0.019917
7        8        0.019250
8        9        0.017606
9       10        0.024791
10      11        0.023856
11      12        0.020651
12      13        0.020370
13      14        0.020560
14      15        0.023728
15      16        0.020644
16      17        0.019315
17      18        0.017196
18      19        0.021888
19      20        0.029292
20      21        0.018600
21      22        0.025053
22      23        0.033817
23      24        0.023844
24      25        0.022299
25      26        0.024821
26      27        0.030083
27      28        0.025462
28      29        0.017183
29      30        0.020378
30      31        0.020485
31      32        0.021936
32      33        0.021854
33      34        0.022726
34      35        0.023879
35      36        0.020693
36      37        0.024605
37      38        0.025556
38      39        0.021022
39      40        0.023720
40      41        0.026058
41      42        0.029703
42      43        0.021081
43      44        0.023036
